Titel,Abkürzung,Ausfertigungsdatum,Fundstelle,Pfad
Achte Verordnung über die Versicherung von Arbeitnehmern in der hüttenknappschaftlichen  Zusatzversicherung,HZvV 8,1991-12-19,"BGBlI:1991,2343",gesetze-master/h/hzvv_8/index.md
Gesetz zur Neuregelung der Hüttenknappschaftlichen Zusatzversicherung im Saarland,HZvG 2002,2002-06-21,"BGBlI:2002,2167",gesetze-master/h/hzvg_2002/index.md
Übereinkommen über die Hohe See,HoheSeeÜbk,1958-04-29,"BGBlII:1972,1091",gesetze-master/h/hoheseeuebk/index.md
Verordnung über die Höhe der Maut für die Benutzung des Herrentunnels,HerrentunnelMautHV,2005-07-06,"BGBlI:2005,2108",gesetze-master/h/herrentunnelmauthv/index.md
Verordnung zur Durchführung des gemeinschaftlichen Hopfenrechts,HopfV,2009-01-27,"BGBlI:2009,152",gesetze-master/h/hopfv/index.md
Verordnung über Zusatzleistungen in Härtefällen nach dem Bundesausbildungsförderungsgesetz,HärteV,1974-07-15,"BGBlI:1974,1449",gesetze-master/h/haertev/index.md
Anordnung über Halden und Restlöcher,HaldeRlAnO,1980-10-02,"GBlDDRI:1980,301",gesetze-master/h/halderlano/index.md
Wahlordnung für die Wahlen der Mitglieder der Vollversammlung der Handwerkskammern  (Anlage C zu dem Gesetz zur Ordnung des Handwerks (Handwerksordnung)),HwWahlO,1953-09-17,"BGBlI:1953,1411,1432",gesetze-master/h/hwwahlo/index.md
Verordnung über die Ausbildung und Prüfung für den höheren Kriminaldienst des  Bundes,HKrimDAPrV,2011-01-15,"BGBlI:2011,43",gesetze-master/h/hkrimdaprv/index.md
Gesetz über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr  2013,HG 2013,2012-12-20,"BGBlI:2012,2757",gesetze-master/h/hg_2013/index.md
Verordnung über die Höchstbeträge der steuerlich begünstigten Herstellungskosten  von Schutzräumen im Sinne der §§ 7 und 12 Abs. 3 des Schutzbaugesetzes,HöBetrV,1970-02-25,"BGBlI:1970,217",gesetze-master/h/hoebetrv/index.md
Höfeordnung,HöfeO,1947-04-24,"VOBlBrZ:1947,Nr.3,25,33",gesetze-master/h/hoefeo/index.md
Heimgesetz,HeimG,1974-08-07,"BGBlI:1974,1873",gesetze-master/h/heimg/index.md
Verordnung zum Schutz gegen bestimmte Salmonelleninfektionen beim Haushuhn,HüSalmoV,2009-04-06,"BGBlI:2009,752",gesetze-master/h/huesalmov/index.md
Verordnung über gesetzliche Handelsklassen für Schaffleisch,HdlKlSchafFlV 1993,1993-06-21,"BGBlI:1993,993",gesetze-master/h/hdlklschafflv_1993/index.md
Verordnung über die Anerkennung von Prüfungen für die Eintragung in die Handwerksrolle,HwREintrV,2005-06-29,"BGBlI:2005,1935",gesetze-master/h/hwreintrv/index.md
Gesetz über Maßnahmen zur Entlastung der öffentlichen Haushalte und zur Stabilisierung  der Finanzentwicklung in der Rentenversicherung sowie über die Verlängerung der  Investitionshilfeabgabe,HBegleitG 1984,1983-12-22,"BGBlI:1983,1532",gesetze-master/h/hbegleitg_1984/index.md
Verordnung über die Gleichstellung von Personen nach § 3 des Häftlingshilfegesetzes,HHG§3V,1962-08-01,"BGBlI:1962,545",gesetze-master/h/hhg_3v/index.md
Gesetz gegen den Handel mit illegal eingeschlagenem Holz,HolzSiG,2011-07-11,"BGBlI:2011,1345",gesetze-master/h/holzsig/index.md
"Verordnung über das Befahren des Naturschutzgebietes ""Helgoländer Felssockel""",HgFSNatSchV,1985-05-13,"BGBlI:1985,776",gesetze-master/h/hgfsnatschv/index.md
Gesetz über Statistiken im Handwerk,HwStatG 1994,1994-03-07,"BGBlI:1994,417",gesetze-master/h/hwstatg_1994/index.md
Haftpflichtgesetz,HaftPflG,1871-06-07,"RGBl:1871,207",gesetze-master/h/haftpflg/index.md
Gesetz zur Ordnung des Handwerks,HwO,1953-09-17,"BGBlI:1953,1411",gesetze-master/h/hwo/index.md
Verordnung zur Regelung von Zuständigkeiten im deutsch-ungarischen Wechselverkehr  mit Binnenschiffen,HUNBinSchZustV,1994-04-20,"BGBlI:1994,878",gesetze-master/h/hunbinschzustv/index.md
Vierte Verordnung über die Versicherung von Arbeitnehmern in der hüttenknappschaftlichen  Zusatzversicherung,HZvV 4,1981-07-20,"BGBlI:1981,668",gesetze-master/h/hzvv_4/index.md
Gesetz über die Rechtsstellung heimatloser Ausländer im Bundesgebiet,HAuslG,1951-04-25,"BGBlI:1951,269",gesetze-master/h/hauslg/index.md
Verordnung über personelle Anforderungen für Heime,HeimPersV,1993-07-19,"BGBlI:1993,1205",gesetze-master/h/heimpersv/index.md
Gesetz zum Übereinkommen vom 29. April 1958 über die Hohe See,HoheSeeÜbkG,1972-09-21,"BGBlII:1972,1089",gesetze-master/h/hoheseeuebkg/index.md
Fünftes Gesetz zur Änderung und Ergänzung des Hypothekenbankgesetzes,HypBkGÄndG 5,1963-01-14,"BGBlI:1963,9",gesetze-master/h/hypbkgaendg_5/index.md
Verordnung zur Durchführung der Rechtsakte der Europäischen Gemeinschaft über  die Einfuhr von Hopfen aus Drittländern,HopfEinV,1997-01-14,"BGBlI:1997,14",gesetze-master/h/hopfeinv/index.md
Gesetz betreffend das Internationale Übereinkommen über den Heuervertrag der  Schiffsleute,HeuerVtrÜbkG,1930-07-24,"RGBlII:1930,987",gesetze-master/h/heuervtruebkg/index.md
Verordnung über die Anforderungen in der Meisterprüfung für den Beruf Hauswirtschafter/Hauswirtschafterin,HWirtMeistPrV,2005-07-28,"BGBlI:2005,2278",gesetze-master/h/hwirtmeistprv/index.md
Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen  und im fachtheoretischen Teil der Meisterprüfung für das Hörgeräteakustiker-Handwerk,HörgAkMstrV,1994-04-26,"BGBlI:1994,895",gesetze-master/h/hoergakmstrv/index.md
Fünfte Verordnung über die Versicherung von Arbeitnehmern in der hüttenknappschaftlichen  Zusatzversicherung,HZvV 5,1985-08-02,"BGBlI:1985,1650",gesetze-master/h/hzvv_5/index.md
Verordnung über die Einfuhr von Hanf aus Drittländern,HanfEinfV,2002-10-14,"BGBlI:2002,4044",gesetze-master/h/hanfeinfv/index.md
Honigverordnung,HonigV 2004,2004-01-16,"BGBlI:2004,92",gesetze-master/h/honigv_2004/index.md
Verfahrensordnung für Höfesachen,HöfeVfO,1976-03-29,"BGBlI:1976,881,885",gesetze-master/h/hoefevfo/index.md
Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen  und im fachtheoretischen Teil der Meisterprüfung für das Holzblasinstrumentenmacher-Handwerk,HoblMstrV,1997-10-07,"BGBlI:1997,2455",gesetze-master/h/hoblmstrv/index.md
Verordnung über den Beschlag von Hufen und Klauen,HufBeschlV,2006-12-15,"BGBlI:2006,3205",gesetze-master/h/hufbeschlv/index.md
Hochschulrahmengesetz,HRG,1976-01-26,"BGBlI:1976,185",gesetze-master/h/hrg/index.md
Gesetz zur Gewährung eines einmaligen Heizkostenzuschusses,HeizkZG,2000-12-20,"BGBlI:2000,1846",gesetze-master/h/heizkzg/index.md
Gesetz zur Änderung des Hauptfeststellungszeitraums für die wirtschaftlichen  Einheiten des Betriebsvermögens sowie des Hauptveranlagungszeitraums für die Vermögensteuer,HfzHvzVStG,1991-06-24,"BGBlI:1991,1322,1336",gesetze-master/h/hfzhvzvstg/index.md
Verordnung über die Berufsausbildung zur Fachkraft für Hafenlogistik,HafenlogAusbV,2006-01-20,"BGBlI:2006,213(330)",gesetze-master/h/hafenlogausbv/index.md
Bestimmungen über die Beförderung von Reisenden und ihrem Gepäck auf See (Anlage  zu § 664 des Handelsgesetzbuchs),HGBAnl,1986-07-25,"BGBlI:1986,1120,1123",gesetze-master/h/hgbanl/index.md
Gesetz zur Beschränkung des Verbringens oder der Einfuhr gefährlicher Hunde  in das Inland,HundVerbrEinfG,2001-04-12,"BGBlI:2001,530",gesetze-master/h/hundverbreinfg/index.md
Gesetz über den Beruf der Hebamme und des Entbindungspflegers,HebG 1985,1985-06-04,"BGBlI:1985,902",gesetze-master/h/hebg_1985/index.md
Verordnung über die grundbuchmäßige Behandlung von Anteilen an ungetrennten  Hofräumen,HofV,1993-09-24,"BGBlI:1993,1658",gesetze-master/h/hofv/index.md
Zweites Gesetz zur Änderung des Heimgesetzes,HeimGÄndG 2,1997-02-03,"BGBlI:1997,158",gesetze-master/h/heimgaendg_2/index.md
Gesetz über die Statistik der Bautätigkeit im Hochbau und die Fortschreibung  des Wohnungsbestandes,HBauStatG,1998-05-05,"BGBlI:1998,869",gesetze-master/h/hbaustatg/index.md
Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen  und im fachtheoretischen Teil der Meisterprüfung für das Handzuginstrumentenmacher-Handwerk,HandzMstrV,1998-03-06,"BGBlI:1998,431",gesetze-master/h/handzmstrv/index.md
Verordnung zur Übertragung von Zuständigkeiten auf Hauptzollämter für den Bereich  mehrerer Hauptzollämter,HZAZustV 2007,2007-02-16,"BGBlI:2007,202",gesetze-master/h/hzazustv_2007/index.md
Gesetz über die Statistik im Handel und Gastgewerbe,HdlStatG 2001,2001-12-10,"BGBlI:2001,3438",gesetze-master/h/hdlstatg_2001/index.md
"Gesetz über Hilfsmaßnahmen für Personen, die aus politischen Gründen außerhalb  der Bundesrepublik Deutschland in Gewahrsam genommen wurden",HHG,1955-08-06,"BGBlI:1955,498",gesetze-master/h/hhg/index.md
Sechste Verordnung über die Versicherung von Arbeitnehmern in der hüttenknappschaftlichen  Zusatzversicherung,HZvV 6,1987-09-28,"BGBlI:1987,2254",gesetze-master/h/hzvv_6/index.md
Gesetz zur Fortentwicklung des Haushaltsrechts von Bund und Ländern,HRFEG,1997-12-22,"BGBlI:1997,3251",gesetze-master/h/hrfeg/index.md
Erste Durchführungsverordnung zum Gesetz über die berufsmäßige Ausübung der  Heilkunde ohne Bestallung (Heilpraktikergesetz),HeilprGDV 1,1939-02-18,"RGBlI:1939,259",gesetze-master/h/heilprgdv_1/index.md
Verordnung über die Mitwirkung der Bewohnerinnen und Bewohner in Angelegenheiten  des Heimbetriebes,HeimMitwirkungsV,1976-07-19,"BGBlI:1976,1819",gesetze-master/h/heimmitwirkungsv/index.md
Gesetz betreffend die Überleitung von Hypotheken des früheren Rechts,HypÜberlG,1906-03-17,"RGBl:1906,429",gesetze-master/h/hypueberlg/index.md
Verordnung über Ausnahmen zum Verbringungs- und Einfuhrverbot von gefährlichen  Hunden in das Inland,HundVerbrEinfVO,2002-04-03,"BGBlI:2002,1248",gesetze-master/h/hundverbreinfvo/index.md
Gesetz über die berufsmäßige Ausübung der Heilkunde ohne Bestallung,HeilprG,1939-02-17,"RGBlI:1939,251",gesetze-master/h/heilprg/index.md
Dritte Verordnung über die Versicherung von Arbeitnehmern in der hüttenknappschaftlichen  Zusatzversicherung,HZvV 3,1979-04-03,"BGBlI:1979,420",gesetze-master/h/hzvv_3/index.md
Verordnung über die Meisterprüfung in den Teilen I und II im Holz- und Bautenschutzgewerbe,HoBaMstrV,2012-09-10,"BGBlI:2012,1891",gesetze-master/h/hobamstrv/index.md
Verordnung über die Prüfung zum anerkannten Abschluss Geprüfter Handelsfachwirt/Geprüfte  Handelsfachwirtin,HandelsfachwPrV,2006-01-17,"BGBlI:2006,59",gesetze-master/h/handelsfachwprv/index.md
Verordnung über die Berufsausbildung zum Hafenschiffer/zur Hafenschifferin,HafenSchAusbV,2006-01-20,"BGBlI:2006,206",gesetze-master/h/hafenschausbv/index.md
Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen  und im fachtheoretischen Teil der Meisterprüfung für das Holzbildhauer-Handwerk,HolzbhMstrV,1987-04-10,"BGBlI:1987,1192",gesetze-master/h/holzbhmstrv/index.md
Verordnung über die Honorare für Architekten- und Ingenieurleistungen,HOAI,2009-08-11,"BGBlI:2009,2732",gesetze-master/h/hoai/index.md
Gesetz über den Schutz der Topographien von mikroelektronischen Halbleitererzeugnissen,HalblSchG,1987-10-22,"BGBlI:1987,2294",gesetze-master/h/halblschg/index.md
Verordnung über die Ablösung früherer Rechte und andere vermögensrechtliche  Fragen,HypAblV,1994-06-10,"BGBlI:1994,1253",gesetze-master/h/hypablv/index.md
Verordnung über die Berufsausbildung zum Hauswirtschafter/zur Hauswirtschafterin,HwirtAusbV 1999,1999-06-30,"BGBlI:1999,1495",gesetze-master/h/hwirtausbv_1999/index.md
Erste Rechtsverordnung zur Durchführung des Heimarbeitsgesetzes,HAGDV 1,1951-08-09,"BGBlI:1951,511",gesetze-master/h/hagdv_1/index.md
Verordnung über die Prüfung zum anerkannten Abschluss Geprüfter Handelsassistent  – Einzelhandel/Geprüfte Handelsassistentin – Einzelhandel,HdlAssPrV 2006,2006-07-12,"BGBlI:2006,1688",gesetze-master/h/hdlassprv_2006/index.md
Verordnung über die Einrichtung und Führung des Handelsregisters,HdlRegVfg,1937-08-12,"RMBl:1937,515",gesetze-master/h/hdlregvfg/index.md
Verordnung über die Prüfung zum anerkannten Abschluss Geprüfter Hotelmeister/Geprüfte  Hotelmeisterin,HotelMeistPrV,2003-08-05,"BGBlI:2003,1568",gesetze-master/h/hotelmeistprv/index.md
Verordnung zur Durchführung des Gesetzes zu den Übereinkommen vom 15. Februar  1972 und 29. Dezember 1972 zur Verhütung der Meeresverschmutzung durch das Einbringen  von Abfällen durch Schiffe und Luftfahrzeuge,HohSeeEinbrV,1977-12-07,"BGBlI:1977,2478",gesetze-master/h/hohseeeinbrv/index.md
Verordnung zur Durchführung des § 33 des Beamtenversorgungsgesetzes,HeilvfV,1979-04-25,"BGBlI:1979,502",gesetze-master/h/heilvfv/index.md
Zweite Verordnung über die Versicherung von Arbeitnehmern in der hüttenknappschaftlichen  Zusatzversicherung,HZvV 2,1976-11-05,"BGBlI:1976,3118",gesetze-master/h/hzvv_2/index.md
Verordnung über die Berufsausbildung zum Holzbearbeitungsmechaniker/zur Holzbearbeitungsmechanikerin,HolzbearbMechAusbV 2004-07,2004-07-15,"BGBlI:2004,1645",gesetze-master/h/holzbearbmechausbv_2004-07/index.md
Verordnung über die Berufsausbildung zum Holzspielzeugmacher/zur Holzspielzeugmacherin,HolzSpielzMAusbV 1996,1996-07-08,"BGBlI:1996,940",gesetze-master/h/holzspielzmausbv_1996/index.md
Verordnung über Lieferbeschränkungen für leichtes Heizöl in einer Versorgungskrise,HeizölLBV,1982-04-26,"BGBlI:1982,536",gesetze-master/h/heizoellbv/index.md
"Verordnung über die Pflichten der Träger von Altenheimen, Altenwohnheimen und  Pflegeheimen für Volljährige im Falle der Entgegennahme von Leistungen zum Zweck  der Unterbringung eines Bewohners oder Bewerbers",HeimsicherungsV,1978-04-24,"BGBlI:1978,553",gesetze-master/h/heimsicherungsv/index.md
Verordnung über die Ausbildung und Prüfung für den höheren Bankdienst der Deutschen  Bundesbank,HBankDAPrV,2012-08-28,"BGBlI:2012,1858",gesetze-master/h/hbankdaprv/index.md
Verordnung über die Gleichstellung von außerhalb des Anwendungsbereichs des  Hufbeschlaggesetzes oder im Ausland erworbenen Prüfungszeugnissen mit den Prüfungszeugnissen  nach der Hufbeschlagverordnung und deren Berücksichtigung bei der staatlichen Anerkennung,HufBeschl-AnerkennV,2009-03-10,"BGBlI:2009,485",gesetze-master/h/hufbeschl-anerkennv/index.md
Verordnung über verwandte Handwerke,HwVerwdtV,1968-12-18,"BGBlI:1968,1355",gesetze-master/h/hwverwdtv/index.md
Gesetz über die Werbung auf dem Gebiete des Heilwesens,HeilMWerbG,1965-07-11,"BGBlI:1965,604",gesetze-master/h/heilmwerbg/index.md
Gesetz zur Einführung einer kapitalgedeckten Hüttenknappschaftlichen Zusatzversicherung  und zur Änderung anderer Gesetze,HZvNG,2002-06-21,"BGBlI:2002,2167",gesetze-master/h/hzvng/index.md
Verordnung über die Kraftfahrzeug-Haftpflichtversicherung ausländischer Kraftfahrzeuge  und Kraftfahrzeuganhänger,HPflEGRLDV,1974-05-08,"BGBlI:1974,1062",gesetze-master/h/hpflegrldv/index.md
Verordnung über die Berufsausbildung zum Handzuginstrumentenmacher/zur Handzuginstrumentenmacherin,HZInstrmMAusbV,1997-01-27,"BGBlI:1997,100",gesetze-master/h/hzinstrmmausbv/index.md
Durchführungsverordnung über Herkunftsnachweise für Strom aus erneuerbaren  Energien,HkNDV,2012-10-15,"BGBlI:2012,2147",gesetze-master/h/hkndv/index.md
Erstes Gesetz zur Änderung des Heimgesetzes,HeimGÄndG 1,1990-04-23,"BGBlI:1990,758",gesetze-master/h/heimgaendg_1/index.md
"Gesetz zur Errichtung einer Stiftung ""Haus der Geschichte der Bundesrepublik  Deutschland"" (Artikel 1 d. Gesetzes zur Errichtung einer Stiftung ""Haus der Geschichte  der Bundesrepublik Deutschland"")",HdGStiftG,1990-02-28,"BGBlI:1990,294",gesetze-master/h/hdgstiftg/index.md
Verordnung über die Ausbildung und Prüfung für den höheren technischen Dienst  in der Bundeswehrverwaltung – Fachrichtung Wehrtechnik –,HtDBWVAPrV,2010-03-31,"BGBlI:2010,366",gesetze-master/h/htdbwvaprv/index.md
Internationales Übereinkommen über die Haftung und Entschädigung für Schäden  bei der Beförderung schädlicher und gefährlicher Stoffe auf See,HaftEntschBefStoffeSeeÜbk,1996-05-03,Keine Angabe,gesetze-master/h/haftentschbefstoffeseeuebk/index.md
Gesetz über eine einmalige Entschädigung an die Heimkehrer aus dem Beitrittsgebiet,HKEntschG,2007-12-10,"BGBlI:2007,2830",gesetze-master/h/hkentschg/index.md
Verordnung zu dem Abkommen vom 19. September 1997 zwischen der Regierung der  Bundesrepublik Deutschland und der Regierung der Französischen Republik über die  Gründung einer Deutsch-Französischen Hochschule,HochschulAbkFRAV,1999-06-22,"BGBlII:1999,450",gesetze-master/h/hochschulabkfrav/index.md
Verordnung über den automatisierten Datenabruf der Handwerkskammern nach §  5a Abs. 2 der Handwerksordnung,HwO§5aAbs2V,2004-06-22,"BGBlI:2004,1314,1315",gesetze-master/h/hwo_5aabs2v/index.md
Verordnung über den Heimaturlaub des Auswärtigen Dienstes,HUrlV 2002,2002-06-03,"BGBlI:2002,1784",gesetze-master/h/hurlv_2002/index.md
Zweites Gesetz zur Verbesserung der Haushaltsstruktur,HStruktG 2,1981-12-22,"BGBlI:1981,1523",gesetze-master/h/hstruktg_2/index.md
Übergangsgesetz aus Anlaß des Zweiten Gesetzes zur Änderung der Handwerksordnung  und anderer handwerksrechtlicher Vorschriften,HwOuaÜG,1998-03-25,"BGBlI:1998,596,604",gesetze-master/h/hwouaueg/index.md
Verordnung zum Schutz von Tieren im Zusammenhang mit der Schlachtung oder Tötung  und zur Durchführung der Verordnung (EG) Nr. 1099/2009 des Rates,TierSchlV 2013,2012-12-20,"BGBlI:2012,2982",gesetze-master/t/tierschlv_2013/index.md
Dritte Durchführungsverordnung zum Treuhandgesetz,TreuhGDV 3,1990-08-29,"GBlDDRI:1990,1333",gesetze-master/t/treuhgdv_3/index.md
Verordnung über die Arbeitszeit der Beamtinnen und Beamten bei der Deutschen  Telekom AG,T-AZV 2000,2000-06-23,"BGBlI:2000,931",gesetze-master/t/t-azv_2000/index.md
Verordnung über Zuchtorganisationen,TierZOV 2009,2009-04-29,"BGBlI:2009,1039",gesetze-master/t/tierzov_2009/index.md
Verordnung über Sonderzahlungen an Beamtinnen und Beamte bei der Deutschen  Telekom AG,TelekomSZV,2005-07-12,"BGBlI:2005,2148",gesetze-master/t/telekomszv/index.md
Verordnung zur Aufhebung lebensmittelrechtlicher Vorschriften für Teigwaren  (Artikel 2 der Verordnung zur Änderung der Aromenverordnung und zur Aufhebung lebensmittelrechtlicher  Vorschriften für Teigwaren),TeigwVorschrAufhV,2001-06-18,"BGBlI:2001,1178",gesetze-master/t/teigwvorschraufhv/index.md
Anordnung zur Übertragung von Zuständigkeiten für den Erlass von Widerspruchsbescheiden  und die Vertretung des Dienstherrn bei Klagen aus dem Beamtenverhältnis in Beihilfeangelegenheiten,TELEKOMBeihAZAnO,1991-05-16,"BGBlI:1991,1199",gesetze-master/t/telekombeihazano/index.md
Verordnung über Tabakerzeugnisse,TabV 1977,1977-12-20,"BGBlI:1977,2831",gesetze-master/t/tabv_1977/index.md
Verordnung zur Übertragung von unternehmensbezogenen Aufgaben und Unternehmensbeteiligungen  der Treuhandanstalt,TreuhUntÜV,1994-12-20,"BGBlI:1994,3910",gesetze-master/t/treuhuntuev/index.md
Verordnung zur Durchführung des Tierische Nebenprodukte-Beseitigungsgesetzes,TierNebV,2006-07-27,"BGBlI:2006,1735",gesetze-master/t/tiernebv/index.md
Verordnung zur Beförderungserlaubnis,TransgV,1996-09-10,"BGBlI:1996,1411(1997I2861)",gesetze-master/t/transgv/index.md
Vierte Durchführungsverordnung zum Treuhandgesetz,TreuhGDV 4,1990-09-12,"GBlDDRI:1990,1465",gesetze-master/t/treuhgdv_4/index.md
Rechtsnormen des Tarifvertrages zur Regelung der Mindestbedingungen für die  Arbeitnehmer der Bergbau-Spezialgesellschaften im deutschen Steinkohlenbergbau vom  22. März 2011,TVMindestbedingungen Steinkohle 2,2011-10-24,"BAnz:2011,Nr164,3801",gesetze-master/t/tvmindestbedingungen_steinkohle_2/index.md
Verordnung über das Berufsbild und über die Prüfungsanforderungen im praktischen  und im fachtheoretischen Teil der Meisterprüfung für das Thermometermacher-Handwerk,ThermMstrV,1989-06-20,"BGBlI:1989,1131",gesetze-master/t/thermmstrv/index.md
Tierzuchtgesetz,TierZG 2006,2006-12-21,"BGBlI:2006,3294",gesetze-master/t/tierzg_2006/index.md
Verordnung über die Berufsausbildung zum Tierwirt/zur Tierwirtin,TWirtAusbV 2005,2005-05-17,"BGBlI:2005,1426",gesetze-master/t/twirtausbv_2005/index.md
"'Rechtsnormen des Tarifvertrages zur Regelung der Mindestlohnes im Dachdeckerhandwerk  - Dach-, Wand- und Abdichtungstechnik - im Gebiet der Bundesrepublik Deutschland  (TV Mindestlohn) (siehe: TVMindestlohnDachd 6)'",TVMindestlohnDachd 6,2011-12-21,"BAnz:2011,Nr196,4623",gesetze-master/t/tvmindestlohndachd_6/index.md
Verordnung über die Berufsausbildung zum Textilreiniger/zur Textilreinigerin,TexRAusbV 2002,2002-06-17,"BGBlI:2002,1923",gesetze-master/t/texrausbv_2002/index.md
Gesetz zur Regelung der Verjährung von Ansprüchen wegen unberechtigter oder  rechtswidriger Erlangung von Gegenwerten aus Transferrubelgeschäften,TrVerjG,1993-06-23,"BGBlI:1993,944,986",gesetze-master/t/trverjg/index.md
Zweite Verordnung zur Anpassung des Gebührenverzeichnisses der Kostenverordnung  für die Prüfung überwachungsbedürftiger Anlagen,TÜPrKostO1992GebVAnpV 2,2003-10-24,"BGBlI:2003,2105",gesetze-master/t/tueprkosto1992gebvanpv_2/index.md
Verordnung über die Qualität von Wasser für den menschlichen Gebrauch,TrinkwV 2001,2001-05-21,"BGBlI:2001,959",gesetze-master/t/trinkwv_2001/index.md
Gesetz über Teilzeitarbeit und befristete Arbeitsverträge,TzBfG,2000-12-21,"BGBlI:2000,1966",gesetze-master/t/tzbfg/index.md
Verordnung über Telekommunikationsgebühren,TKGebV,2007-07-19,"BGBlI:2007,1477",gesetze-master/t/tkgebv/index.md
Verordnung über die Zulassung des Befahrens der Eder- und der Diemeltalsperre  sowie die Abwehr strom- und schifffahrtspolizeilicher Gefahren,TspV 2003,2003-04-03,"VkBl:2003,230",gesetze-master/t/tspv_2003/index.md
Verordnung über die Berufsausbildung zum Textilgestalter und zur Textilgestalterin  im Handwerk,TextilGestAusbV,2011-06-17,"BGBlI:2011,1178",gesetze-master/t/textilgestausbv/index.md
"Gesetz über die Spende, Entnahme und Übertragung von Organen und Geweben",TPG,1997-11-05,"BGBlI:1997,2631",gesetze-master/t/tpg/index.md
Verordnung über technische Kontrollen von Nutzfahrzeugen auf der Straße,TechKontrollV,2003-05-21,"BGBlI:2003,774",gesetze-master/t/techkontrollv/index.md
Telekommunikations-Nummerierungsverordnung,TNV,2008-02-05,"BGBlI:2008,141",gesetze-master/t/tnv/index.md
Rechtsnormen des Mindestlohn-Tarifvertrages für Wäschereidienstleistungen im  Objektkundengeschäft vom 18. Mai 2009,TVMindestlohn Wäscherei,2009-10-21,"BAnz:2009,Nr160,3634",gesetze-master/t/tvmindestlohn_waescherei/index.md
Verordnung zur Regelung von Zuständigkeiten im deutsch-tschechischen und deutsch-slowakischen  Wechselverkehr mit Binnenschiffen,TRSLOBinSchZustV,1994-04-20,"BGBlI:1994,879",gesetze-master/t/trslobinschzustv/index.md
Anordnung zur Ergänzung der Anordnung über die Ernennung und Entlassung von  Beamten und Beamtinnen im Bereich der Deutschen Bundespost Telekom,TELEKOMErnAnOErgAnO,1992-04-05,"BGBlI:1992,981",gesetze-master/t/telekomernanoergano/index.md
Tierische Nebenprodukte-Beseitigungsgesetz,TierNebG,2004-01-25,"BGBlI:2004,82",gesetze-master/t/tiernebg/index.md
Verordnung über die Erteilung der Fahrberechtigung an Triebfahrzeugführer sowie  die Anerkennung von Personen und Stellen für Ausbildung und Prüfung,TfV,2011-04-29,"BGBlI:2011,705(1010)",gesetze-master/t/tfv/index.md
Gesetz zur Therapierung und Unterbringung psychisch gestörter Gewalttäter,ThUG,2010-12-22,"BGBlI:2010,2300,2305",gesetze-master/t/thug/index.md
Verordnung über die Eignung der Ausbildungsstätte für die Berufsausbildung  zum Tierwirt/zur Tierwirtin,TWirtAusbStEignV 2005,2005-07-13,"BGBlI:2005,2172",gesetze-master/t/twirtausbsteignv_2005/index.md
Verordnung über die Berufsausbildung zum Kaufmann für Tourismus und Freizeit/zur  Kauffrau für Tourismus und Freizeit,TourKfmAusbV,2005-03-18,"BGBlI:2005,794",gesetze-master/t/tourkfmausbv/index.md
Gesetz über die Errichtung von Testamenten und Erbverträgen,TestG,1938-07-31,"RGBlI:1938,973",gesetze-master/t/testg/index.md
Verordnung zum Verbot der Verwendung bestimmter Stoffe zur Vermeidung des Risikos  der Übertragung transmissibler spongiformer Enzephalopathien durch Arzneimittel,TSEAMV,2001-05-09,"BGBlI:2001,856",gesetze-master/t/tseamv/index.md
Gesetz zur Überführung der Testamentsverzeichnisse und der Hauptkartei beim  Amtsgericht Schöneberg in Berlin in das Zentrale Testamentsregister der Bundesnotarkammer,TVÜG,2010-12-22,"BGBlI:2010,2255,2258",gesetze-master/t/tvueg/index.md
"Verordnung zur Anwendung der Arzneimittelprüfrichtlinien, soweit es sich um  Arzneimittel handelt, die zur Anwendung bei Tieren bestimmt sind, und zur Ablösung  der Allgemeinen Verwaltungsvorschrift zur Anwendung der Tierarzneimittelprüfrichtlinien",TamPV,2010-02-18,"BGBlI:2010,130",gesetze-master/t/tampv/index.md
Textilkennzeichnungsgesetz,TextilKennzG,1969-04-01,"BGBlI:1969,279",gesetze-master/t/textilkennzg/index.md
Verordnung über die Gewährung von Jubiläumszuwendungen an Beamtinnen und Beamte  bei der Deutschen Telekom AG,TelekomJubV,2005-06-21,"BGBlI:2005,1791",gesetze-master/t/telekomjubv/index.md
Fünfte Durchführungsverordnung zum Treuhandgesetz,TreuhGDV 5,1990-09-12,"GBlDDRI:1990,1466",gesetze-master/t/treuhgdv_5/index.md
Verordnung über die Bestimmung der zuständigen Stelle sowie über die fachliche  Eignung für die Berufsausbildung zum Tierarzthelfer/zur Tierarzthelferin,TArztHAusbZustV,1986-04-14,"BGBlI:1986,404",gesetze-master/t/tarzthausbzustv/index.md
Verordnung zur Übertragung der Befugnis zum Erlass von Rechtsverordnungen nach  dem Telekommunikationsgesetz,TKGÜbertrV,2004-11-22,"BGBlI:2004,2899",gesetze-master/t/tkguebertrv/index.md
